MachineName,B_11,E_11,I_11,R_11,B_12,E_12,I_12,R_12
Huascaran Yesterday,1,0,0,0,0,0,1,0
Huascaran Yesterday,1,0,0,0,0,1,0,0
Huascaran Yesterday,1,0,0,0,0,1,0,0
Huguenot,0,1,0,0,0,1,0,0
Huguenot,0,1,0,0,0,1,0,0
Huguenot,0,1,0,0,0,1,0,0
Huguenot,0,1,0,0,0,1,0,0
Hygroscope,0,0,1,0,0,1,0,0
Isopectic Affirmatory,0,1,0,0,0,1,0,0
Isopectic Affirmatory,0,1,0,0,0,1,0,0
Isopectic Altering,0,0,1,0,0,1,0,0
Isopectic Altering,0,0,1,0,0,1,0,0
Isopectic Am,0,1,0,0,0,1,0,0
Isopectic Am,0,1,0,0,0,1,0,0
Isopectic Continental,0,0,0,1,0,0,0,1
Isopectic Continental,0,0,0,1,0,0,0,1
Isopectic Continental,0,0,0,1,0,0,0,1
Isopectic Digitigrade,0,1,0,0,0,1,0,0
Isopectic Digitigrade,0,1,0,0,0,1,0,0
Isopectic Digitigrade,0,1,0,0,0,1,0,0
Isopectic Encoding,0,0,0,1,0,0,0,1
Isopectic Encoding,0,0,0,1,0,0,0,1
Isopectic Encoding,0,0,0,1,0,0,0,1
Isopectic Encoding,0,0,0,1,0,0,0,1
Isopectic Encoding,0,0,0,1,0,0,0,1
Isopectic Encoding,0,1,0,0,1,0,0,0
Isopectic Encoding,0,1,0,0,1,0,0,0
Isopectic Encoding,0,1,0,0,1,0,0,0
Isopectic Encoding,0,1,0,0,1,0,0,0
Isopectic Encoding,0,1,0,0,1,0,0,0
Isopectic Encoding,0,1,0,0,1,0,0,0
Isopectic Encoding,0,0,0,1,0,1,0,0
Isopectic Encoding,0,0,0,1,0,1,0,0
Isopectic Encoding,0,0,0,1,0,1,0,0
Isopectic Encoding,0,0,0,1,0,1,0,0
Isopectic Encoding,0,0,0,1,0,0,0,1
Isopectic Encoding,0,0,0,1,0,0,0,1
Isopectic Encoding,0,0,0,1,0,0,0,1
Isopectic Encoding,0,0,0,1,0,0,0,1
Isopectic Encoding,0,0,0,1,0,0,0,1
Isopectic Encoding,0,0,0,1,0,0,0,1
Isopectic Encoding,0,0,0,1,0,0,0,1
Isopectic Encoding,0,0,0,1,0,0,0,1
Isopectic Encoding,0,0,0,1,0,0,0,1
Isopectic Encoding,0,0,0,1,0,0,0,1
Isopectic Encoding,0,0,0,1,0,0,0,1
Isopectic Encoding,0,0,0,1,0,0,0,1
Isopectic Female,0,0,0,1,0,0,1,0
Isopectic Female,0,0,0,1,0,0,1,0
Isopectic Female,0,0,1,0,0,0,1,0
Isopectic Female,0,0,1,0,0,0,1,0
Isopectic Female,0,0,1,0,0,0,1,0
Isopectic Guy,0,0,1,0,0,0,1,0
Isopectic Guy,0,0,1,0,0,0,1,0
Isopectic Guy,0,0,1,0,0,0,1,0
Isopectic Guy,0,0,1,0,0,0,1,0
Isopectic Guy,0,0,1,0,0,0,1,0
Isopectic Guy,0,0,1,0,0,0,1,0
Isopectic Hypethral,0,0,0,1,0,0,0,1
Isopectic Laying,0,1,0,0,0,1,0,0
Isopectic Majority,1,0,0,0,0,0,1,0
Isopectic Majority,1,0,0,0,0,0,1,0
Isopectic Music,0,0,1,0,0,0,0,1
Isopectic Myth,1,0,0,0,0,0,1,0
Isopectic Myth,1,0,0,0,0,0,1,0
Isopectic Myth,1,0,0,0,0,0,1,0
Isopectic Myth,1,0,0,0,0,0,1,0
Isopectic Myth,1,0,0,0,0,0,1,0
Isopectic Myth,1,0,0,0,0,0,1,0
Isopectic Myth,1,0,0,0,0,0,1,0
Isopectic Myth,1,0,0,0,0,0,1,0
Isopectic Myth,1,0,0,0,0,0,1,0
Isopectic Myth,1,0,0,0,0,0,1,0
Isopectic Postulate,0,1,0,0,0,0,1,0
Isopectic Postulate,0,1,0,0,0,0,1,0
Isopectic Postulate,0,1,0,0,0,1,0,0
Isopectic Postulate,0,0,0,1,0,0,1,0
Isopectic Postulate,0,0,0,1,0,0,1,0
Isopectic Postulate,0,0,0,1,0,0,1,0
Isopectic Postulate,0,0,0,1,0,0,1,0
Isopectic Postulate,0,0,0,1,0,0,1,0
Isopectic Reflection,1,0,0,0,0,1,0,0
Isopectic Surplus,0,1,0,0,0,1,0,0
Isopectic Surplus,0,1,0,0,0,1,0,0
Isopectic Symposiac,0,1,0,0,0,0,1,0
Isopectic Symposiac,0,1,0,0,0,0,1,0
Isopectic Theft,0,0,1,0,0,0,0,1
Isopectic Theft,0,0,1,0,0,0,0,1
Isopectic Trick,0,0,1,0,0,1,0,0
Isopectic Trick,0,0,1,0,0,1,0,0
Isopectic Trick,0,0,1,0,0,1,0,0
Isopectic Trick,0,0,1,0,0,1,0,0
Isopectic Trick,0,0,1,0,0,1,0,0
Isopectic Trick,1,0,0,0,1,0,0,0
Isopectic Trick,1,0,0,0,1,0,0,0
Isopectic Trick,1,0,0,0,1,0,0,0
